NHU CẦU & SL ĐÁP ỨNG - ĐƠN HÀNG,,,,,,,
NGÀY NHẬN ĐH,Ngày triển khai,Số ĐH,Mã Khách Hàng,Tên Khách Hàng,Mã SP,SL đơn hàng,NGÀY Yêu cầu hoàn thành
5/18/2023,5/30/2023,132/23XK,0467/POLAND,NAIL4U,KSK-1676,  1.000 ,7/18/2023
5/18/2023,5/30/2023,132/23XK,0467/POLAND,NAIL4U,KSK-1677,  1.000 ,7/18/2023
5/19/2023,5/23/2023,133/23ND,B2B,ANNA,D.06-16,  100 ,5/25/2023
5/19/2023,5/23/2023,133/23ND,B2B,ANNA,M.01,  40 ,5/25/2023
5/22/2023,5/23/2023,134/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD2-0289,  240 ,7/22/2023
5/22/2023,5/23/2023,134/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD2-0370,  150 ,7/22/2023
5/22/2023,5/23/2023,134/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD2-0371,  150 ,7/22/2023
5/22/2023,5/23/2023,134/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD3-0291,  150 ,7/22/2023
5/22/2023,5/23/2023,134/23XK,0006/LEBANON,FADI SAWAYA SAL (SAWAYA INT'L LLC),KD3-0292,  150 ,7/22/2023
5/23/2023,5/24/2023,135/23XK,0069/POLAND,ACTIV TOMASZ PACHOLCZYK,NL.201,  360 ,7/24/2023
5/23/2023,5/25/2023,135/23XK1,KDQT,HÀNG TỒN,NL.201,  140 ,7/24/2023
5/25/2023,5/25/2023,136/23XK,0223/KOREA,JENIPER,KD2-1745,  2.000 ,7/22/2023
12/15/2022,5/30/2023,137/23XK,0393/RUSSIA,LLC RINGO,KD2-1548,  5.000 ,8/21/2023
5/30/2023,5/30/2023,137/23XK,0393/RUSSIA,LLC RINGO,KK2-1179,  5.000 ,8/21/2023
5/30/2023,5/30/2023,137/23XK,0393/RUSSIA,LLC RINGO,KK2-1180,  5.000 ,8/21/2023
5/30/2023,5/30/2023,137/23XK,0393/RUSSIA,LLC RINGO,KM2-1441,  5.000 ,8/21/2023
5/25/2023,6/7/2023,138/23XK,0478/CZECH,NAIL SERVICE,KD2-1733,  60 ,7/21/2023
5/25/2023,6/7/2023,138/23XK,0478/CZECH,NAIL SERVICE,KD2-1734,  60 ,7/21/2023
5/25/2023,5/30/2023,138/23XK,0478/CZECH,NAIL SERVICE,KSK-1732,  500 ,7/21/2023
5/25/2023,5/30/2023,138/23XK,0478/CZECH,NAIL SERVICE,KSS-1735,  120 ,7/21/2023
5/31/2023,6/1/2023,139/23XK,0104/LEBAN,JACK DAOU & SONS SAL,KD2-1747,  180 ,6/7/2023
5/29/2023,8/25/2023,140/23XK,0026/GERMANY,ZWILLING Beauty Group GmbH,KSD-0361,  2.000 ,11/29/2023
5/29/2023,8/25/2023,140/23XK,0026/GERMANY,ZWILLING Beauty Group GmbH,KSD-0362,  10.000 ,12/29/2023
6/1/2023,6/3/2023,141/23XK,0205/JAPAN,HIKARI CORPORATION,KD3-0287,  1.000 ,9/7/2023
6/1/2023,6/3/2023,141/23XK,0205/JAPAN,HIKARI CORPORATION,KD3-0372,  1.000 ,8/22/2023
6/1/2023,6/3/2023,141/23XK,0205/JAPAN,HIKARI CORPORATION,KD3-0520,  1.000 ,9/7/2023
6/1/2023,6/3/2023,141/23XK1,0205/JAPAN,HIKARI CORPORATION,KD3-0372,  1.000 ,11/7/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,B.999,  60 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.03-14,  360 ,6/23/2023
6/7/2023,6/8/2023,142/23XK,0480/NETHERLAND,SAIGON BEAUTY SPA,C.04-14,  60 ,6/23/2023
